Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
33, 1400, GA, 3.2574971, 2161917
35, 1400, BSO, 7.6745383, 1528162
35, 1400, GA, 3.1998316, 2111880
37, 1400, BSO, 7.0171203, 1507701
37, 1400, GA, 3.27072, 2099620
39, 1400, BSO, 4.0258835, 1488833
39, 1400, GA, 3.4392345, 2049391
41, 1400, BSO, 4.7158234, 1486168
41, 1400, GA, 3.626334, 2083806
43, 1400, BSO, 0.3104067, 1487434
43, 1400, GA, 3.789369, 2093601
45, 1400, BSO, 5.5380065, 1516870
45, 1400, GA, 3.952539, 2141039
47, 1400, BSO, 5.7860413, 1504531
47, 1400, GA, 4.1977244, 2091892
49, 1400, BSO, 6.594955, 1508349
49, 1400, GA, 4.6547928, 2118425
1, 1500, BSO, 0.2989977, 1439629
1, 1500, GA, 0.2125532, 1102785
3, 1500, BSO, 0.2994322, 1528108
3, 1500, GA, 0.4093579, 2017504
5, 1500, BSO, 0.3551205, 1528349
5, 1500, GA, 0.8863199, 2203907
7, 1500, BSO, 0.4412318, 1486453
7, 1500, GA, 0.7827229, 2222479
9, 1500, BSO, 0.5612057, 1502247
9, 1500, GA, 0.9966297, 2236741
11, 1500, BSO, 0.6629308, 1513751
11, 1500, GA, 1.1586708, 2292207
13, 1500, BSO, 0.2851008, 1467842
13, 1500, GA, 1.3574525, 2200791
15, 1500, BSO, 1.0039763, 1501097
15, 1500, GA, 1.5304073, 2218058
17, 1500, BSO, 1.1927309, 1491563
17, 1500, GA, 1.7504577, 2219386
19, 1500, BSO, 1.3733125, 1496604
19, 1500, GA, 1.8969198, 2255251
21, 1500, BSO, 1.6264233, 1523153
21, 1500, GA, 2.0963304, 2274857
23, 1500, BSO, 1.9962661, 1422289
23, 1500, GA, 2.2917306, 2130431
25, 1500, BSO, 2.1266853, 1488194
25, 1500, GA, 2.4766817, 2221974
27, 1500, BSO, 4.5360195, 1566846
27, 1500, GA, 2.6363901, 2306111
29, 1500, BSO, 2.7723891, 1551210
29, 1500, GA, 2.9188851, 2282641
31, 1500, BSO, 6.0262076, 1478230
31, 1500, GA, 3.0325402, 2217707
33, 1500, BSO, 3.5045063, 1483668
33, 1500, GA, 3.2954075, 2238552
35, 1500, BSO, 4.1424982, 1490384
35, 1500, GA, 3.8352323, 2226203
37, 1500, BSO, 0.407461, 1516277
37, 1500, GA, 3.675575, 2272442
39, 1500, BSO, 9.6431436, 1455432
39, 1500, GA, 4.0645249, 2224798
41, 1500, BSO, 7.0365139, 1511838
41, 1500, GA, 4.8059235, 2242774
43, 1500, BSO, 0.5678545, 1517962
43, 1500, GA, 4.478878, 2256384
45, 1500, BSO, 8.4089728, 1484746
45, 1500, GA, 5.2069693, 2234021
47, 1500, BSO, 15.0092683, 1510453
47, 1500, GA, 4.8023425, 2262557
49, 1500, BSO, 15.8024407, 1508744
49, 1500, GA, 4.7347028, 2255938
1, 1600, BSO, 0.3014619, 1506394
1, 1600, GA, 0.2041958, 1240713
3, 1600, BSO, 0.3447626, 1534552
3, 1600, GA, 0.4747067, 2088574
5, 1600, BSO, 0.4974135, 1453277
5, 1600, GA, 0.6945148, 2233927
7, 1600, BSO, 0.6975886, 1538367
7, 1600, GA, 0.8767809, 2412249
9, 1600, BSO, 0.9488212, 1483043
9, 1600, GA, 1.1518314, 2390760
11, 1600, BSO, 1.3127773, 1491748
11, 1600, GA, 1.2954047, 2360826
13, 1600, BSO, 1.2606542, 1452564
13, 1600, GA, 1.7225627, 2356519
15, 1600, BSO, 1.2265387, 1496945
15, 1600, GA, 1.6780215, 2396846
17, 1600, BSO, 1.4856059, 1508851
17, 1600, GA, 1.8755559, 2380529
19, 1600, BSO, 2.8716693, 1491437
19, 1600, GA, 2.0638727, 2382853
21, 1600, BSO, 3.3853449, 1531790
21, 1600, GA, 2.2850965, 2433346
23, 1600, BSO, 3.9659483, 1467862
23, 1600, GA, 2.6289801, 2371655
25, 1600, BSO, 0.3715504, 1499398
25, 1600, GA, 2.9030482, 2444349
27, 1600, BSO, 0.4279519, 1468658
27, 1600, GA, 3.1108838, 2403696
29, 1600, BSO, 3.2475175, 1537080
29, 1600, GA, 3.0158598, 2439819
31, 1600, BSO, 6.8040352, 1518555
31, 1600, GA, 3.1945954, 2376451
33, 1600, BSO, 7.5218577, 1501725
33, 1600, GA, 3.3495068, 2406688
35, 1600, BSO, 4.66921, 1512263
35, 1600, GA, 3.7795704, 2414303
37, 1600, BSO, 11.6959135, 1548693
37, 1600, GA, 3.8511712, 2491279
39, 1600, BSO, 11.6635567, 1496144
39, 1600, GA, 4.5176401, 2421296
41, 1600, BSO, 7.1233682, 1485515
41, 1600, GA, 4.3261145, 2429720
43, 1600, BSO, 7.3853235, 1537269
43, 1600, GA, 4.6993278, 2432177
45, 1600, BSO, 15.6248968, 1518247
45, 1600, GA, 4.8716577, 2412484
47, 1600, BSO, 8.4428553, 1539615
47, 1600, GA, 5.1978334, 2462233
49, 1600, BSO, 9.5185541, 1551397
49, 1600, GA, 5.3998297, 2439170
1, 1700, BSO, 0.3602249, 1508581
1, 1700, GA, 0.3145769, 1226229
3, 1700, BSO, 0.5724784, 1507536
3, 1700, GA, 0.4858516, 2155106
5, 1700, BSO, 0.4481481, 1507572
5, 1700, GA, 0.7127379, 2462313
7, 1700, BSO, 0.5514377, 1451620
7, 1700, GA, 0.8990435, 2516998
9, 1700, BSO, 0.7007105, 1494764
9, 1700, GA, 1.1854158, 2524128
11, 1700, BSO, 1.3506114, 1496589
11, 1700, GA, 1.3712334, 2562764
13, 1700, BSO, 1.027549, 1486303
13, 1700, GA, 1.6111169, 2542281
15, 1700, BSO, 2.5564854, 1501081
15, 1700, GA, 1.9446029, 2561999
17, 1700, BSO, 0.3594101, 1478180
17, 1700, GA, 2.2821321, 2536544
19, 1700, BSO, 2.2274211, 1482922
19, 1700, GA, 2.1192743, 2503996
21, 1700, BSO, 2.2783038, 1484694
21, 1700, GA, 2.514012, 2544424
23, 1700, BSO, 2.5049758, 1523679
23, 1700, GA, 2.9528808, 2570006
25, 1700, BSO, 5.494571, 1507482
25, 1700, GA, 3.2600773, 2582240
27, 1700, BSO, 3.5686305, 1492146
27, 1700, GA, 3.3259411, 2540275
29, 1700, BSO, 3.8932339, 1543392
29, 1700, GA, 3.3242869, 2590137
31, 1700, BSO, 4.0241176, 1519844
31, 1700, GA, 3.6002166, 2566306
33, 1700, BSO, 9.8123519, 1501393
33, 1700, GA, 4.0569302, 2573524
35, 1700, BSO, 11.6419951, 1461763
35, 1700, GA, 3.9920514, 2533714
37, 1700, BSO, 5.4481707, 1525101
37, 1700, GA, 4.0725117, 2560092
39, 1700, BSO, 6.2793387, 1505045
39, 1700, GA, 4.5139541, 2540165
41, 1700, BSO, 0.4410614, 1497246
41, 1700, GA, 4.7138143, 2506453
43, 1700, BSO, 8.7993654, 1506637
43, 1700, GA, 4.7719856, 2606721
45, 1700, BSO, 8.9506649, 1475370
45, 1700, GA, 5.2050295, 2535378
47, 1700, BSO, 9.2934776, 1534730
47, 1700, GA, 5.1274308, 2618641
49, 1700, BSO, 10.4745606, 1456256
49, 1700, GA, 5.4876309, 2523465
1, 1800, BSO, 0.4035109, 1534918
1, 1800, GA, 0.2296777, 1354000
3, 1800, BSO, 0.4341994, 1535738
3, 1800, GA, 0.5014761, 2413474
5, 1800, BSO, 0.517267, 1494137
5, 1800, GA, 0.7223029, 2650168
7, 1800, BSO, 0.6296694, 1529699
7, 1800, GA, 0.9517939, 2717224
9, 1800, BSO, 0.819653, 1537019
9, 1800, GA, 1.2065198, 2745794
11, 1800, BSO, 1.5744258, 1470932
11, 1800, GA, 1.4550448, 2711252
13, 1800, BSO, 1.167227, 1496425
13, 1800, GA, 1.6980149, 2690452
15, 1800, BSO, 1.5172412, 1487325
15, 1800, GA, 1.8599204, 2685940
17, 1800, BSO, 3.0646323, 1526611
17, 1800, GA, 2.1092144, 2713078
19, 1800, BSO, 4.8772858, 1508137
19, 1800, GA, 2.3734821, 2697753
21, 1800, BSO, 2.4008298, 1528054
21, 1800, GA, 2.5026313, 2777396
23, 1800, BSO, 5.5234394, 1513555
23, 1800, GA, 2.9172918, 2738394
25, 1800, BSO, 3.3748621, 1527553
25, 1800, GA, 3.028747, 2708268
27, 1800, BSO, 6.8642003, 1494204
27, 1800, GA, 3.115601, 2726712
29, 1800, BSO, 4.1472514, 1456657
29, 1800, GA, 3.7557783, 2675013
31, 1800, BSO, 0.4584898, 1489874
31, 1800, GA, 3.8198639, 2696411
33, 1800, BSO, 5.27348, 1511698
33, 1800, GA, 4.1233234, 2697798
35, 1800, BSO, 0.4846216, 1494683
35, 1800, GA, 4.4281023, 2754254
37, 1800, BSO, 11.9381256, 1528424
37, 1800, GA, 4.2716668, 2752401
39, 1800, BSO, 0.47305, 1500796
39, 1800, GA, 4.5229426, 2692857
41, 1800, BSO, 8.0460899, 1502287
41, 1800, GA, 4.7101307, 2654280
43, 1800, BSO, 18.0855633, 1531765
43, 1800, GA, 5.0213944, 2771062
45, 1800, BSO, 9.8782415, 1510330
45, 1800, GA, 5.2369804, 2688011
47, 1800, BSO, 10.6567031, 1493287
47, 1800, GA, 5.4175121, 2685998
49, 1800, BSO, 11.2570303, 1459285
49, 1800, GA, 5.8794672, 2652436
1, 1900, BSO, 0.4502096, 1486265
1, 1900, GA, 0.2361814, 1385308
3, 1900, BSO, 0.4712452, 1492103
3, 1900, GA, 0.5255356, 2490685
5, 1900, BSO, 0.5626962, 1486322
5, 1900, GA, 0.7462215, 2671654
7, 1900, BSO, 0.7023558, 1471857
7, 1900, GA, 1.074188, 2770205
9, 1900, BSO, 1.0841314, 1498896
9, 1900, GA, 1.2432163, 2859546
11, 1900, BSO, 1.1846931, 1473500
11, 1900, GA, 1.4932953, 2859203
13, 1900, BSO, 1.2787886, 1498721
13, 1900, GA, 1.6903538, 2818850
15, 1900, BSO, 1.5369418, 1483379
15, 1900, GA, 1.9238943, 2822722
17, 1900, BSO, 1.8452669, 1487154
17, 1900, GA, 2.3990443, 2865253
19, 1900, BSO, 4.4226158, 1463513
19, 1900, GA, 2.5503028, 2788546
21, 1900, BSO, 4.920044, 1491490
21, 1900, GA, 2.6302686, 2841901
23, 1900, BSO, 3.3020584, 1493933
23, 1900, GA, 2.8629027, 2850079
25, 1900, BSO, 6.6373331, 1547498
25, 1900, GA, 3.4165746, 2906644
27, 1900, BSO, 7.8917074, 1492250
27, 1900, GA, 3.441472, 2803773
29, 1900, BSO, 4.7414739, 1520045
29, 1900, GA, 3.7354305, 2910799
31, 1900, BSO, 5.1802704, 1517160
31, 1900, GA, 3.7849218, 2852733
33, 1900, BSO, 5.4754414, 1494002
33, 1900, GA, 3.9729666, 2852441
35, 1900, BSO, 6.3716633, 1511456
35, 1900, GA, 4.2993215, 2879701
37, 1900, BSO, 6.8991323, 1511652
37, 1900, GA, 4.5068749, 2880106
39, 1900, BSO, 7.7996377, 1496078
39, 1900, GA, 4.7744784, 2837109
41, 1900, BSO, 17.7170029, 1517525
41, 1900, GA, 5.0266372, 2912301
43, 1900, BSO, 9.832905, 1561648
43, 1900, GA, 5.2241145, 2936970
45, 1900, BSO, 11.2472327, 1531222
45, 1900, GA, 5.5993664, 2925449
47, 1900, BSO, 11.9526726, 1519180
47, 1900, GA, 5.8600525, 2852230
49, 1900, BSO, 26.0257293, 1541931
49, 1900, GA, 6.0205088, 2861892
1, 2000, BSO, 0.4920878, 1497333
1, 2000, GA, 0.2493134, 1508296
3, 2000, BSO, 0.5475277, 1514789
3, 2000, GA, 0.5513027, 2676766
5, 2000, BSO, 0.6768998, 1482546
5, 2000, GA, 0.9379908, 2907776
7, 2000, BSO, 0.8232804, 1480444
7, 2000, GA, 1.056292, 2965314
9, 2000, BSO, 1.491711, 1515996
9, 2000, GA, 1.3068901, 3010503
11, 2000, BSO, 1.2663138, 1542126
11, 2000, GA, 1.5905174, 3013091
13, 2000, BSO, 1.4818284, 1525279
13, 2000, GA, 1.7890658, 3014063
15, 2000, BSO, 2.8700711, 1535658
15, 2000, GA, 2.1163883, 3101180
17, 2000, BSO, 2.2283071, 1510847
17, 2000, GA, 2.3822906, 3036304
19, 2000, BSO, 2.5309707, 1484106
19, 2000, GA, 2.4742957, 2965854
21, 2000, BSO, 6.2899549, 1515121
21, 2000, GA, 3.0725259, 3000267
23, 2000, BSO, 6.5138424, 1513610
23, 2000, GA, 3.0287254, 2993908
25, 2000, BSO, 4.0876323, 1438899
25, 2000, GA, 3.4027016, 2847292
27, 2000, BSO, 4.4739314, 1466929
27, 2000, GA, 3.6149956, 3028630
29, 2000, BSO, 5.9814059, 1464856
29, 2000, GA, 4.5538305, 2954230
31, 2000, BSO, 6.6903825, 1518810
31, 2000, GA, 4.5533102, 3002116
33, 2000, BSO, 7.5273009, 1514401
33, 2000, GA, 4.8149148, 3026075
35, 2000, BSO, 7.9510719, 1481862
35, 2000, GA, 4.7689909, 2997454
37, 2000, BSO, 8.0574278, 1461422
37, 2000, GA, 5.0730676, 2997004
39, 2000, BSO, 8.8506092, 1493166
