Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
17, 600, BSO, 0.2290129, 270135
17, 600, GA, 0.6932873, 931683
19, 600, BSO, 0.2769949, 278106
19, 600, GA, 0.7319083, 875676
21, 600, BSO, 0.3164791, 276838
21, 600, GA, 0.812345, 907177
23, 600, BSO, 0.638893, 287573
23, 600, GA, 0.9348451, 900573
25, 600, BSO, 0.4117984, 290000
25, 600, GA, 0.987377, 901495
27, 600, BSO, 0.4587257, 269441
27, 600, GA, 1.0802536, 901443
29, 600, BSO, 0.4908964, 292087
29, 600, GA, 1.1538923, 898438
31, 600, BSO, 0.555647, 293680
31, 600, GA, 1.2298404, 903935
33, 600, BSO, 0.6372211, 252310
33, 600, GA, 1.4743385, 910601
35, 600, BSO, 1.4428007, 303701
35, 600, GA, 2.0108819, 890656
37, 600, BSO, 1.6224809, 277005
37, 600, GA, 1.4145502, 891264
39, 600, BSO, 1.4545321, 306656
39, 600, GA, 1.4648507, 907345
41, 600, BSO, 0.1328711, 287180
41, 600, GA, 1.6024957, 886331
43, 600, BSO, 1.9707985, 285615
43, 600, GA, 1.6104188, 908809
45, 600, BSO, 1.8119335, 271001
45, 600, GA, 1.6474955, 878683
47, 600, BSO, 1.0683139, 296974
47, 600, GA, 1.7119197, 936493
49, 600, BSO, 1.1236189, 316505
49, 600, GA, 1.7956427, 893956
1, 700, BSO, 0.1253682, 326600
1, 700, GA, 0.0792218, 517439
3, 700, BSO, 0.1439157, 314545
3, 700, GA, 0.1830662, 900725
5, 700, BSO, 0.1648748, 334928
5, 700, GA, 0.2694522, 1023573
7, 700, BSO, 0.1631348, 329398
7, 700, GA, 0.3513602, 1030952
9, 700, BSO, 0.1811679, 347797
9, 700, GA, 0.4391271, 1067976
11, 700, BSO, 0.1320306, 321421
11, 700, GA, 0.5166692, 1005804
13, 700, BSO, 0.2490978, 338665
13, 700, GA, 0.6130065, 1053477
15, 700, BSO, 0.2880602, 347797
15, 700, GA, 0.6807351, 1104733
17, 700, BSO, 0.3249418, 305896
17, 700, GA, 0.774772, 1011566
19, 700, BSO, 0.5970574, 320491
19, 700, GA, 0.8450825, 1054116
21, 700, BSO, 0.6837444, 327204
